,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,2.0,97.0,0.0,0.0,1434.0,4994.0,93570.0,0
1,1146549086872408069,0.0,18.0,0.0,0.0,2.0,118.0,7284.0,0
2,24524761,0.0,74.0,26.0,0.0,105.0,360.0,173176.0,0
3,512966590,0.0,26.0,1.0,0.0,848.0,4966.0,57803.0,0
4,8743302,1.0,67.0,6.0,9.0,4347.0,2355.0,39065.0,0
5,4476020061,0.0,37.0,0.0,0.0,164.0,439.0,14917.0,0
6,1410388787612446721,3.0,13.0,7.0,0.0,436.0,192.0,13055.0,1
7,2673185698,0.0,99.0,1.0,0.0,1974.0,4994.0,430569.0,0
8,541529471,1.0,76.0,1.0,5.0,2644.0,4996.0,115476.0,1
9,2358170251,5.0,46.0,8.0,2.0,1149.0,1352.0,154341.0,0
10,1867750286,0.0,98.0,2.0,0.0,3439.0,4948.0,926180.0,0
11,47129792,0.0,77.0,0.0,2.0,760.0,1814.0,167884.0,0
12,1250488384746897410,0.0,57.0,3.0,0.0,6.0,43.0,807.0,0
13,2910484010,0.0,49.0,2.0,0.0,1276.0,3716.0,68663.0,0
14,21703259,9.0,34.0,0.0,1.0,10009.0,9710.0,58187.0,0
15,2279566128,5.0,91.0,2.0,2.0,1192.0,1122.0,192803.0,0
16,16148602,3.0,69.0,11.0,17.0,28471.0,5941.0,226583.0,1
17,1327498365077172226,2.0,48.0,25.0,19.0,105.0,414.0,45136.0,0
18,753261688791699456,0.0,55.0,1.0,0.0,1533.0,5001.0,253265.0,0
19,4808850153,3.0,48.0,3.0,0.0,329.0,417.0,35750.0,0
20,1468810363311300609,,,,,1541.0,2158.0,104990.0,1
21,32232142,1.0,25.0,3.0,0.0,6331.0,2626.0,74377.0,0
22,3033082756,0.0,1.0,0.0,0.0,79.0,446.0,22594.0,0
23,24951569,7.0,93.0,0.0,0.0,1021.0,5001.0,62934.0,0
24,1329123577,0.0,92.0,0.0,8.0,505.0,1849.0,121462.0,0
25,168505436,1.0,96.0,0.0,3.0,1343.0,4999.0,363714.0,0
26,863454640796389376,0.0,80.0,0.0,0.0,1999.0,3430.0,79415.0,0
27,1181410363499106304,0.0,100.0,0.0,0.0,898.0,4652.0,178395.0,0
28,1117047552,0.0,93.0,6.0,0.0,697.0,641.0,206411.0,0
29,1415729358761775105,,,,,61.0,506.0,46207.0,0
